canonical_instrument_id,symbol,event_date,action_type,raw_factor,cumulative_backward_factor,volume_factor,factor_confidence,source_event_id,methodology_version,review_status
NSE:GMBREW:EQ,GMBREW,2024-05-24,BONUS,0.8,0.8,1.25,VERIFIED_OFFICIAL,nse-ca-b95d5976b740b08b,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GMMPFAUDLR:EQ,GMMPFAUDLR,2022-07-11,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-65bf17e5a7ee004a,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GNA:EQ,GNA,2023-09-01,BONUS,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-065ddbc1aae02670,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GODFRYPHLP:EQ,GODFRYPHLP,2025-09-16,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-e287fb67f4e7ee05,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GOKULAGRO:EQ,GOKULAGRO,2025-10-14,STOCK_SPLIT,0.5,0.5,2,VERIFIED_OFFICIAL,nse-ca-4ab2e20bf42929f4,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GOLDIAM:EQ,GOLDIAM,2022-03-28,STOCK_SPLIT,0.2,0.15,5,VERIFIED_OFFICIAL,nse-ca-91e63a2544c1aa34,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GOLDIAM:EQ,GOLDIAM,2026-07-10,BONUS,0.75,0.75,1.333333333333333333333333333,VERIFIED_OFFICIAL,nse-ca-d01596aa055bd0ca,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GOODLUCK:EQ,GOODLUCK,2026-08-21,BONUS,0.3333333333333333333333333333,0.3333333333333333333333333333,3,VERIFIED_OFFICIAL,nse-ca-2c9233ddaa196f72,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GOYALALUM:EQ,GOYALALUM,2023-04-25,STOCK_SPLIT,0.1,0.1,10,VERIFIED_OFFICIAL,nse-ca-38d5c1040671cc82,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GPIL:EQ,GPIL,2021-10-26,BONUS,0.5,0.1,2,VERIFIED_OFFICIAL,nse-ca-3ccf85841c953533,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GPIL:EQ,GPIL,2021-10-26,STOCK_SPLIT,0.5,0.05,2,VERIFIED_OFFICIAL,nse-ca-a2593671bb29f6c3,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
NSE:GPIL:EQ,GPIL,2024-10-04,STOCK_SPLIT,0.2,0.2,5,VERIFIED_OFFICIAL,nse-ca-b89b3f2ac3284361,PRICE_ADJUSTED_STRUCTURAL_V1,PARSED
